# Screenshot Manifest
# clip_number, timestamp, filename

0, 00:00.00, clip_000_0.00s.jpg
1, 00:01.53, clip_001_1.53s.jpg
2, 00:02.73, clip_002_2.73s.jpg
3, 00:03.60, clip_003_3.60s.jpg
4, 00:04.53, clip_004_4.53s.jpg
5, 00:06.47, clip_005_6.47s.jpg
6, 00:08.20, clip_006_8.20s.jpg
7, 00:10.90, clip_007_10.90s.jpg
8, 00:12.03, clip_008_12.03s.jpg
9, 00:13.03, clip_009_13.03s.jpg
10, 00:14.43, clip_010_14.43s.jpg
11, 00:15.17, clip_011_15.17s.jpg
12, 00:16.07, clip_012_16.07s.jpg
13, 00:17.67, clip_013_17.67s.jpg
14, 00:19.13, clip_014_19.13s.jpg
15, 00:20.73, clip_015_20.73s.jpg
16, 00:21.50, clip_016_21.50s.jpg
17, 00:22.27, clip_017_22.27s.jpg
18, 00:23.07, clip_018_23.07s.jpg
19, 00:23.83, clip_019_23.83s.jpg
20, 00:24.60, clip_020_24.60s.jpg
21, 00:25.27, clip_021_25.27s.jpg
22, 00:25.83, clip_022_25.83s.jpg
23, 00:26.93, clip_023_26.93s.jpg
24, 00:28.60, clip_024_28.60s.jpg
25, 00:30.13, clip_025_30.13s.jpg
26, 00:31.70, clip_026_31.70s.jpg
27, 00:34.73, clip_027_34.73s.jpg
28, 00:36.47, clip_028_36.47s.jpg
29, 00:38.83, clip_029_38.83s.jpg
30, 00:40.03, clip_030_40.03s.jpg
31, 00:41.57, clip_031_41.57s.jpg
32, 00:44.13, clip_032_44.13s.jpg
33, 00:45.70, clip_033_45.70s.jpg
34, 00:47.30, clip_034_47.30s.jpg
35, 00:49.47, clip_035_49.47s.jpg
36, 00:49.97, clip_036_49.97s.jpg
37, 00:50.80, clip_037_50.80s.jpg
38, 00:51.57, clip_038_51.57s.jpg
39, 00:52.23, clip_039_52.23s.jpg
40, 00:54.17, clip_040_54.17s.jpg
41, 00:55.17, clip_041_55.17s.jpg
42, 00:55.93, clip_042_55.93s.jpg
43, 00:56.73, clip_043_56.73s.jpg
44, 00:58.23, clip_044_58.23s.jpg
